id,rating,note,user
1722302,3.5,Rich smoky and solid. Canny,Daniel Barry
1722302,3.5,Very nice fruit,Marc Partridge
1722302,3.0,Light.  Tannins not intense.  Light spicy. Good finish. ,Eliezer Bello
1722302,4.0,"Tried for the baga grape. Good flavor and easy to drink, but overall a little bland for my liking.",Karim Kanso
1722302,1.5,"Assez quelconque, mis à part de l'animal, idem en bouche.",Charles Saumade
1722302,2.5,"Tastes very different from other white wines, but expected more!!",Sergio Dias
1722302,3.0,"A bit vinegary, not too bad with food.",Rutu Patel
1722302,3.5,"Light and fruity, pleasant to drink. Amazing raspberry notes from the Touriga-Nacional.",Tudor Palanga
1722302,3.5,of a browny plum colour. a smell of brown and blue hay barrel (a masculine bouquet) leather and aniseed. mature tannins round earthy  a touch of violets which are not sweet. andrea has  synaesthesia ,Andrés S
1722302,5.0,"Very good, dry and fruit with wood notes ",Goncalo Ferreira
1722302,3.5,Had it open for one hour before tasting and it could have had a bit more of time. Intense purple Dão with a leathery,Vitor Rodrigues
1722302,3.0,"It is very classy and elegant, with very ripe tannins, powerful black fruits and intense, perfumed flavors. This wine could certainly age for 5–10 years. ",Adrian N.
2069631,4.0,"Smooth, organic and not acid.",Ricardo Pareja
2069631,4.0,Good and equilibrated. Excellent price value. ,Carlos Ribeiro
2069631,3.5,"Lazy Sunday, rainy day... a good day to open a bottle of wine.  👃 mildly spicy, warm, black pepper, red fruit ( strawberry, cherry) and vanilla notes.  The body is extremely light, but it’s good regardless, balanced, low acidity and a moderate aftertaste.  I was excited it to be more bold because of the year but I guess since it’s organic, that might have a impact. ",Mauro Ferrão
2069631,3.0,"Red fruit notes on the tongue, high tannins. A bit too rough for my taste. ",Mauricio Bouroncle
2069631,3.5,Lovely after a tough week on a lockdown Friday. ,Alys Colayera
2069631,3.0,"3.5-5. dark purple with nose of red fruit and pepper. Medium body, tannin and acidity. Dryish with a little chewiness. Wnba.",Dave Seremek
2069631,3.0,"Tart cherry and a slight floral note on the nose. Palate is all cherry. Smooth, light, and drinkable, but a bit lacking in depth or complexity. ",Andrew Spratt
2069631,3.0,"Nice taste of red fruit and citrus fruit, but a little bit on the tannic/acidic side. Not very complex. It goes along quite well with a vegan Bolognese pasta.",Michael D'heur
2069631,4.5,Open taste. More fruity than Tempranillo grapes. Less tannins. ,George Xourafas
2069631,4.0,"Incredibly deep purple, candied fruits with some holiday spice on the nose. Drinks thin, easy. Low complexity, cherry, vanilla, Ash, doesn't linger. Pretty simple wine, no complaints from plum's <$20 picks. ",Andrew
2069631,4.0,"Delicious floral notes. Old world earthiness with a classic Port red blend flavor profile.  Composed of a field blend of estate fruit: Touriga Nacional (45%) Touriga Franca (25%) Sousão (20%) Tinta Roriz(5%) Tinta Cão (5%)  Deep dark purple! Faint nose of red cherry and soil.  No mistaking these grapes! Hearty red fruit, raspberry, blackberry, and subtle meat and slate, but mostly fruit driven. A surprising amount of acidity and a med full body.  A nice drinking wine with or without food at a good price.   ",Nicholas Rap
2069631,4.0,A classic Douro earthy full flavors back a black cherry opening . Smooth pleasant and very good value for money at 12:99,Adrian Digby
2069631,4.0,Spicy and floral characters,Wayne Ma
2069631,4.0,Formidable Douro wine!!! Aromas of cherry cassis and bitter degistive,Marco Faber
2069631,3.5,Strong herbal notes to start then flushing out with hints of plum and mineral deposits in the finish.,Dadavoodoo
1744679,3.5,A vivid dark violet from Douro with a nose on cherries and berries. The palate has volume and solid but non aggressive tannins. A pleasant surprise in this less known wine.,Vitor Rodrigues
1744679,3.0,"Deepest evil purple - lots of long, stringy legs - tight hints of grape in the nose - big in the mouth - wild dark berries - nice rough edges - a bit of a bruiser, but an honest, easy, and pleasant drink - reasonable finish - good value. 4 hour decant. 14.5%. Touriga Nacional, Touriga Franca, Tinta Roriz",Claw Dee Puss
1744679,3.5,"Ripe fruit, subtle hints of balsamics. Elegant. Maybe the finish is some short",Fernando J.
1744679,3.5,"Strong, fruity, have a vanilla taste",José Galvão
1744679,4.0,In relation to the price...excellent!!,Joao Paleta
1744679,2.0,"Fruity in the mouth, completly empty of flavors in the end. Didn't like it.",Diogo Almeida
1744679,3.5,"drank with monkfish rice & it was a really good combination. well balanced with the right amount of wood in, full-bodied.",Laradb
1744679,5.0,Perfect body for holiday dinner table,Bomi Kim
1744679,4.0,I'm in Portugal and this wine rules,Alyssa
1744679,4.0,"Great wine!  Clear on the nose and mouth , light and easy to drink w/ an outstanding flavour",Joao Santos
1744679,4.0,"Well balanced wood, good!",David Matos
1744679,4.0,"@ PORTUGAL VACATIONS - 2018 - In this cozy restaurant in Ovar center I tasted this very interesting daily wine from “Tras os Montes” region. Limpid and intense red color. Nose marked by fresh red fruits as strawberries and blackberries, rounded up by vanilla and spices. In mouth, good body with powerfull tannins well integrated in the ellegant fruity flavors. Good lasting with exciting aftertaste. Paired well with my codfish migas lunch. Cheers! ",Renato Feliz Augusto
1744679,4.0,Repeating and keeping the same note....,Vitor Nogueira
1744679,4.0,Great blend of Portuguese wine. Great purple fruit and floral but yet nice and light. Would definitely recommend this. ,Kate Edgecombe
1744679,4.0,Smooth and nice red fruits,William Coates
1894092,4.0,Quite surprised by this one. I bought this nice red at a simple supermarket at gorgeous Castelo de Vide. Full body though still fruity with a nice bouquet. Smooth and enjoyable. ,Jacky DC
1894092,3.5,Fruity very enjoyable wine we enjoyed with veal and padron peppers.  Easy to drink once it aerated for a bit,Peter Haase
1894092,4.0,"Achei o nome diferente, mas aí lembrei da banda, belo vinho.  Different name, came from the rock band, nice wine.",Alessandro Z
1894092,3.5,"Fruity, medium to heavy body with a round finish. Cherry and other berries. A finish quite unlike other Alentejo wines.",Micael A
1894092,3.5,"Nice wine! Red fruits, blueberries, nice acidity and concentration. Go Xutos!",Jml
1894092,3.0,"So finally the celebrity wines have found its way to Portugal! this is itself a very good music group that this wine carries it’s name from- unfortunately despite the interesting grape mixture you can’t say the same about the wine... A little bit too short, alcohol in front of the mouth at 13.5% - it is a little flat despite what seems to be proper work in the vineyard.",Jackah Gson
1894092,3.5,"Great berry fruited flavours, dense and enjoyable. Not bad for that price! True alentejo but smoothe",Carlos Martins
1894092,2.5,"An interesting a drinkable wine. Medium in body, leggy, a lot of sweet dark fruit, very tannic.  Smells like port.",Evan Goldstein
1894092,3.5,Great taste with a smooth ,Patrick ONeill
1894092,3.0,a rock band tribute!,Paulo Firmeza
1894092,3.5,Surpresa “Rock & Roll” wining,João Ulrich
1894092,5.0,"2011 fabuloso, a meu ver.  🍷 © Jota Ene photo 🍷 ",𝐉𝐎𝐓𝐀 𝐄𝐍𝐄
1894092,2.0,Red fruits with too much black pepper.Lacking balance.Too simple maybe too old,Lucas
1894092,4.0,"Good flavors, great price.",Jorge Branco
1197707,4.0,"Great value, very tasty. Intermarche. Buy again.",Rodney Turtle
1197707,4.5,"🇵🇹 bom vinho alentejano. Um verdadeiro Pias. Feito com Aragonez, Alicante Bouschet, Touriga Franca e Petit Verdot.  Este foi um dos vinhos que deu fama à região de Pias. Garrafa 16692 de 17438. Precisa bastante tempo para abrir.  🇬🇧 Good wine from Alentejo. A real wine from Pias. Made with Aragonez, Alicante Bouschet, Touriga Franca and Petit Verdot. This os one of the wines that made the Pias region famous. Bottle 16692 of 17438. Needs a long time to breathe.",Luciano Viegas
1197707,4.0,"Wood in aroma, like appasimento",Aleksey Vorontsov
1197707,2.0,"Fruity, with hints of plum and red fruits. Extremely sweet, and therefore it needed to integrate a little more acidity. The worst part is that the wine is already past its prime. If you have it stored,  drink it now.",Alexandre Vilão
1197707,4.5,A random holiday purchase from a supermarket in Portugal. Lovely smooth slightly smokey hit with a decent finish. Not sure on price I think it was about €8 - something of a bargain for s quaffing BBQ wine ,Alex Foster
1197707,3.5,"Very nice smokey wine, it has great consistency dry hints , equal , strong but not overpowering tannins , very aromatic .... And nicely balanced .... A great wine for cheeses , will be buying more !!! ",Mike Digby
1197707,3.5,"🇵🇹 Cloração rubi intenso, aroma a fruta vermelha madura, ameixa, cereja com ligeiro toque de chocolate e madeira, paladar com estrutura média, macio e equilibrado, acidez e taninos vivos, final médio longo.  🇬🇧 Intense ruby ​​chlorination, aroma of ripe red fruit, plum, cherry with a slight hint of chocolate and wood, palate with medium structure, soft and balanced, acidity and live tannins, medium long finish.",João Rodrigues
1197707,3.5,"powerfull Alentejo wine, great year. tasted again in 2016 and it lost some of its charm. However still very interesting. Still smooth and mellow",Baltazar Baptista
1197707,4.5,"Amazing Alentejo wine. Wonderful structure, complexity and body. A must.",Diogo Almeida
1197707,3.0,"Oak taste with this wine, great and smooth ",Smoothwinesid
1197707,4.5,Drank this on a park bench out of a plastic beaker- lovely vanilla notes,Zoe T
1197707,4.0,"Violet aroma, full bodied, smooth, deep ruby colour.",António Vilas-Boas
1504338,4.5,"Finally a big gun comes out after so many other wines.. What a beauty! 👀Deep ruby in colour 👃Pronounced nose of blackberry, plum and black cherry with beautifully intertwined oaky vanilla with touches of raisin some crushed gravel 👄Pronounced on the palate with black fruit and sour cherry with some earthy minerality and big spice to a looooong finish. Luxurious and rich with big grumpy tannins and high acidity! 8 years young requiring another 15 at least! What a beast! 4.3🌟 and only getting better ",Almiro
1504338,4.5,"Black berries, chocolate. Sensation!",Elena Poddubnaya
1504338,3.0,"Heavy and ok nose for a Portugese Duoro, but little nuance and complexity",Jens Blomgren-Hansen
1504338,3.0,"Next is this super bold, very dry northern red, hints of oak and dark forest fruit ",Robert Cook
1504338,5.0,Excelent for small pigs !!!,Dan Gheorghiu
1504338,4.0,"Madeira, cafe, chocolate e baunilha",Rodrigo Ferreira
1504338,4.5,"Very good this 2009 Limited Edition 4 dezasseis,this red wine is not a bit shy!It showed its might from the beginning with a tremendously deep garnet,almost opaque color.Lovely nose,a wine I can smell the whole day,notes of red ripe fruit,anise and licorice,slight white flower and wet earth.Full body with firm but polished tannins and good acid sting.A palate marked by quality fruit well integrated with wood,balsamic and menthol,spicy and jammy.The end is long marked by pleasant lingering acidity.",Christopher Cabrita
1504338,4.5,"Super good red from Barrida. Touriga National and Touriga Franca. Full bodied, chocolate, red fruit. A beautiful blend of fruit, acid, tannin. One of the best Portuguese red I ever tried(and I tried many😜). ",Leif Lindqvist
1504338,4.5,Wine Meeting Bacozon 30/05/2019,Francisco Arguelles
1504338,4.5,"Waw, this is it, all you expect from a great wine, after de anting a very soft start, chocolate and spices, ripe red fruit but incredible finish!",Peter Winters
1504338,5.0,uau last bottle from the 3 I bought. ....really good. nice body and good end fresh and aromatic,Alberto Antunes
1504338,4.0,"Bottle 1378 of 4800.... pretty good. Starting to get into Beiras wine, will return with fuller review.",Kevin S
1504338,4.5,"Great bairrada from this small Quinta do Ortigão, very good and persistent nose, great tears, very velvet and balanced wine, the best I have ever had. Soft red berries, plums and light chocolate and very soft tannins. Do try because price quality is top ",Peter Winters
1504338,4.0,A powerfull wine. Open and let it breathe for 20 minutes!,Miguel Lourenço
8348940,3.0,"Shiny yellow. Aged in oak barrels for 3 months. Straw, citrus and yellow garden fruits nose. Vegetal palate with dominating lemon taste. Smooth, balanced, hint of minerality, bitter finish. I expected more for a reserva, I’m either not in the mood or the wine is average 😉🥂",Johan Kuresh
6349654,3.0,"Dark garnet color. Proper and black currant. Fresh due to acidity. Too much presence of tannins for Syrah, in my opinion. ",Antonio Carmo
6349654,3.0,"Great wine, fruity, and cheap! I tried in Lisbon, at a wine festival in the streets! ",Paulo Perez Peres
6349654,4.0,"Medium body, fresh and slightly spicy end. Not overly complex, but good drink ability. One of the best wines in this price range I’ve ever had. ",Mario Cardoso
6349654,3.5,"Okay red, not too impressionable.",Darija Mitrovska
6349654,2.5,"Wines of Portugal, June 10 - wine fair - quick notes - simple, high acidity.",Reynaldo Ajauskas
6349654,3.5,Above average for price range. ,Andre Velloso
6349654,3.0,"Advantages: very good value, very affordable in my region. Complex fruity nose with blackberry and blueberry, heaps of smoke, tobacco, licorice, allspice, with a palate of salinity, like salty, rocky, smoky, tannin. Definitely bites, and could use some age. I wasn’t as much of a fan as some others, I thought the body was medium and the finish was medium, which for a warm climate Portuguese Syrah, I thought would be stronger. Well balanced overall and nice flavors for a good price point. Not a standout.",Chris
5264080,5.0,The best wine all of the world,Quang Hàn
5264080,5.0,"Drank at the quinta de maria izabel this special 12 months oak that had malolactic fermentation yellow ripe apple in nose, the fire and toast of the wood, well balanced still some freshness, lac, anis...minerals and fine saltiness in aftertaste. Just beautiful..first 5-rating in a year",Gos Hein Van de Wouw
5264080,4.5,"Excelent wine from Douro - great producer!  This is a blend of Portuguese grapes, very well balanced, perfect acidity, Appel and citric.  A most try!  Cheers ",Fernando De Matos
5264080,4.5,Perfect balanced fruity white wine!,Jorge Azevedo
5264080,4.5,"Second time around for this one everything in the previous review still stands-maybe an additional remark is how effortless the style is - completely natural, but still with all the trimmings off true terroir 🙏🏻 Dirk N.",Jackah Gson
5264080,5.0,One of the best Douro whites! Incredible smell and exquisite taste ,Paulo Simoes
5264080,3.5,"QUAY WINE BAR RIBEIRA PORTO. WHITE WINE TASTING.  Nose intense and elegant same time, floral and mineral notes, fruity, young but complex, fresh and smooth finish.  QUAY WINE BAR RiBEIRA PORTO. DEGUSTAÇÃO DE BRANCOS.  Nariz ntenso e elegante ao mesmo tempo, notas florais e minerais, jovem mas complexo, final suave e fresco.",MARCELO BRANDÃO
5264080,5.0,Heavy bouquet elegant and flowery niv,Anders Simonsson
5264080,4.5,minerals apple citrus zest ,Arina Kaznina
5264080,4.5,Amazing! Revisited / same note ,MAB
5264080,4.5,Love this wine. Absolutely fantastic. ,Sergio Raposo Frade
5264080,3.5,"Tasted as primeur, to be released in 2020",Luís Baía
5264080,5.0,Oh wow. Must try. ,Gabija Cekauskaite
5264080,4.5,Just fantastic ! ,Jean Mond
1621251,3.5,"Don’t get scared by the real red lemonade color, it is a very enjoyable rose, a bit more body then your average Provence, but that makes it a nice combi with an entree. ",Renze Visser
1621251,3.5,Not bad with lunch on a hot day on the beach - plenty of fruit and maybe not as light as Provence rosé but very drinkable all the same . Good value .,Ian Herbert Oxley
1621251,3.5,Great with salmon,Mark Bakker
1621251,3.5,"Dark in colour, sweet in fruit. Strawberry raspberry ripe peach ",Tess L
1621251,3.5,"Dry, hints of white peach, almond bitters soft acidity ",Dirk Breedveld
1621251,3.5,Aromatico e seco...um best value for money!,João Arrais
1621251,3.0,"Rosé from Alentejo! Review Nr 200!   Grape; Aragonez ( =Tempranillo)  5 month fermentation by 11 degrees  Aromas of raspberry, strawberry, redcurrant, compote and red cherries.  On the palate medium dry, fresh and well  balanced. Medium long final ",Bart St
1621251,2.5,"Dark rose wine. Bit of lime, bit of cherry. Lacks some complexity. Balance is ok. Finish okayish",Erik Van T Hof
1621251,3.0,Strawberries on mass . Smooth delish,Chez
1621251,3.5,Bitter and a bit tangy for my preferred taste. But light and refreshing. 3.6-3.7,Ron Al Do
1621251,4.0,"Dark cherry with sweet flavors, wonderful colors",Ian Tighe
1621251,3.0,Good for everyday drinking. Fruity and flavoursome.,Ben Stratton
1621251,3.0,Very drinkable with Italian food.,Soup-pot
1621251,3.0,Nice wine provided at the villa when we arrived,Huw Loaring
80415,4.5,"very good. very very good. i did not know i could enjoy port this much. Freshness, fleshy, ripe, leather-y, tobacco, dried fruits. ",SOMMOS - Stefan
80415,4.5,"Cherry, toffee, creme brulee, dark and red fruit, spices and wood. Very pleasent even though it's a baby still!  Raisin, fig, prune, vanilla, wood, caramel, ripe dark cherry and minerality. Really balanced and elegant. Very very good! Fantastic complex finish with incredible vibrant nerve and balance. This will become nectar of gods in 15 years but already irresistable now! 97",Thomas B
80415,4.5,"Happy Christmas Eve🎅 Cork removed in 2 pieces but no sieve required. Plenty of crud in the bottle but decanted without problem. Dark ruby red with browning at the rim. Intense nose of leather, plum, cherry, raisins, prunes, dried figs & tobacco. Medium+ body with very good acidity. On the palate prunes, raisins  & other dried fruits with some Xmas spice & a long, lingering warm finish. From half bottle. Another yummy auction bargain. 4.3⭐  ",Steve Standbridge
80415,4.5,Deep black color. Carmelized sugar nose. Marzipan up front. Syrupy mouth feel. Dark chocolate and cake batter on the finish.,Christopher Galle
80415,4.5,Powerful and juicy. Showing great caracther and delicious integration. Still quite full of potential but drinking very well,Joao Vasconcelos
80415,4.5,"Still vital, fruity and fresh tasting after nearly 4 decades. Cherry, cedar, lingering finish. Fantastic!!",Lincoln Collins
80415,4.5,"Smoothe, leather and sweet berries. Smooth, smooth and smooth!",Hans Carnefjord
80415,5.0,"Unbelievable... Cherry, plum, moon grape sweetness, caramel chocolate is dead match. Still going strong... Even fig stands up to this",Michael Werfel
80415,4.5,"Still young. Sweet chocolate, cherries,, mint",Per Kristiansen
80415,3.0,"Wild for a port that's almost 40 years old! Plum, curry, tea leaves, dried lavender, white pepper, annatto, raw sugar, and bamboo. Stands up quite nicely.",Becca Gomez Farrell
80415,4.0,"A treat. Figgy, syrupy and unctuous. But there’s still an acidity that lightens the whole deal. 40 years and more old - luckily the cheese - Picos blue, Stilton, Cotherstone, and Mont d’Or, none of it approaching the same age, all helped it across the road. ",Steve Cropper
80415,4.0,A cloudy mahogany Port with fruit cake and nuts in the nose. It is supple and chewy with flavor and a good balance.,Vitor Rodrigues
80415,3.5, raisin chocolate blackberry,Risa Koyama
80415,4.5,"Still tasting fresh, like a wine half its age. Great depth and finish",Sue Worscheh
80415,5.0,"Fantastic! Very smooth with notes of BlackBerry,Chocolate, and Caramel. Bought this bottle in the 90's, and opened it this Thanksgiving. Wish I had bought more of it. ",Jack Urban
1636879,4.0,"Deep ruby, slow tears. Sour cherry, tea, dried herbs in nose. Medium   tannins, sweet, honey, herbs, ripe berries, light carmel. Medium   finish.",Jakub O
1636879,3.5,A very easy-drinking port. Fruit forward with a pleasant but not cloying sweetness and a smooth finish. A perfect match with dark chocolate! #365daysofvino,365daysofvino
1636879,4.0,"Potpourri of red fruits, orange liquor, going to nutmeg, clove, black olive, granite and mint. Acidity is high, tannins rather low. Qualiy producer, not the best vintage.",Tom Colman
1636879,4.0,"Blackberry and cloves on the nose. Warm mouthfeel that splits from fruit to spice. Very enjoyable. Flavors of blackberry, cassis jam, prunes, clove, mace, and truffles. Finish also starts fruit forward with blackberry and prunes and then extends with cooking spice, iron, and truffles.",Timothy Evavold
1636879,3.5,"coffee, caramel, toffee, chocolate, hazelnuts, figs, baked fruits, butterscotch.  paired well with chocolate.  clear pale tawny. no further aromatics and palate component notes. can drink now but has the potential further ageing.  verdict: #haveabottle #dowrs _____ 📍@wineintuition 🥂 WSET 3 Week 8 #27082018",David O
1636879,4.0,Dark purple. Bright. Dust. Violet. Cherry. Intense. Violets and floral. Still lots of tannins. 1/2 bottle makes it easier.,Larissa Velez
1636879,4.0,"of course too young, but already drinkable",Daniel Ryser
1636879,4.0,Not an expert in Porto's but good value with very delicate smell and no off flavor,Roger Villar
1636879,3.5,Cherries and cloves with added notes of chocolate and licorice. Raisins hang in here as well. Very good.,Mattias Assmundson
1636879,3.5,None. High quality lbv. But in comparison with others nothing special.,Aleksey Lisenkov
1636879,3.5,"Kersen, peper, laurier; drink now; do not store; somewhat disappointing ",BoWe
1636879,3.5,"I love port. This one smells like cherry and cloves with some liquorice thrown in there. Med body, med acid and quite easy to drink",Michelle Wu
1636879,3.0,The most expensive portwine ever 15.000.000 mill NOK from Denis Savrasov !!,Tiger Twenty
1636879,2.5,"a good Porto, but far away from sprcial impressions",Dirk Steinmueller
1636879,2.0,From Portugal.  Yes. One of a kind.,Gerard De Wit
76378,4.5,"Oui, oui,  Oui!!! J'adore le porto!  Almost like chochlate infused caramel, hints of tobacco and dries fruits... fiques, abricot and raisins! So good! ",LJ
76378,4.5,"4.5 92p. Nice and complex bouquet with dried apricots, honey, nuts, cherry sauce and oak. Really nice palate with complex notes of dried fruit and oak on a well balanced acidty and a honyed sweetness.  Choose 1966, 1985 or 2006, if you want to optimize QPR.  11-",nielsmartin
76378,4.5,"A real good port, with taste of raisin, plum brown sugar, and vanilla. Long plesant finish.",Johnny Glenn
76378,4.5,I loved this tawny. All what you love from a tawny but still some lively acid freshness. Yummy!,RedGrød
76378,4.5,"1987, god Philipson wine 800.-/12 fl 300,-",G Filtenborg
76378,4.5,"Sweet fruit and nuts, had this on a standalone basis and loved it!",Rasmus Madsen
76378,4.5,Really nice port. Look forward the evening to drink this more ,Jan
76378,4.0,"90 Aroma had overripe and candied cherries, raisins, overripe plums, oak and vanilla. Over the palate came overripe cherries, raisins, candied cherries, oak, vanilla and prunes. Medium acidity and sweet.",Kim Lund Johansen - WineExplorer.dk
76378,4.0,"Light amber in colour. Tobacco box, dates, figs, and sweet biscuit in the aroma. Flavour of tobacco, dates, sweet cherry, coffee notes, and chocolate. 90.",Johanne S. Johansen
76378,5.0,If you want excellent Colheita Port - you can always count on Burmester to deliver 👌🏻,Nikolaj Jønsson
76378,3.5,31 years old port = great expectations 😋 however this did not quite live up to these expectations. Very light brownish color. In the nose nuts and sweet fruits - same goes for the palate. But it seemed to be a bit thin in every way. Don’t get me wrong this is a very yummy port - but I expected a bigger and more memorable experience.,Claus Christensen
76378,2.5,"Not sure what has happened to this one, but it’s like the power has disappeared. It’s almost hollow",John Andersen
76378,2.5,Not convinced about the quality of Burmester,DocCalus
76378,5.0,Amazing. Taste of mild honeyed port wine. The best one I've ever tried.,Fab D
76378,4.5,"Beautiful dark orange-brown color with reddish hints. Brilliant clarity.  The aroma is acidiously fresh and vibrant with notes of orange peel, kumquats, raisins, prunes and brown sugar.  The alcohol is a little intrusive right after opening - with a vauge turpentine note. Tastes great with juicy-sour, ripe fruit and sweet, fatty caramel. Long aftertaste. Yum! ",John Heesemann
1135751,4.0,"Very good entry level vintage Port. Prune, blackberry jam, walnut, caramel. Excellent pairing with Stilton blue cheese and with 75% dark chocolate. 😍",Sebastian Petrişor
1135751,4.0,"First experience with a VP, and it's a great experience! Deep dark red color, lots of fruits and power.. Great wine now, but you can easily taste the potential of this wine also!",Martin Høiby
1135751,4.0,"Like a good rich MF filling Amarone... O Is it a Port, nice any way!",Thomas Kaarsted
1135751,4.0,"A blend of Touriga Nacional, Touriga Franca, Tinta Roriz and Sousão from Porto, Portugal. Blackberry, plum, dried apricot, raisin, blueberry, cinnamon, vanilla, caramel, coffee. Very Long aftertaste. Fruit-driven, rich, nutty, creamy and aromatic. Nice Port.",Vasil B
1135751,2.5,Supposed to be one of the best vintage of the decade but this bottle was off oxidized and corked notes #portwineday #winelover,Fabien Lainé
1135751,4.0,Great porto. 20 percent of alcho ! Grapes from the Cima Corgo in the Duro Valley. Two year in the oak casks. Intense aroma os red plums. ,Borut Lusa
1135751,4.0,"2008 vintage. Surprise, ready to drink. Got it with peber steak.",Paul C
1135751,3.5,"Delightful, but still a baby!",Thomas A
1135751,4.0,Good try for a Nice Wine. Can be stored for Many years. ,Morten
1135751,4.0,Amazing value. Bought it ages ago for nothing and it is a stunner. Light brown colour like liquid caramel. Nose is all nuts and intensity. Really increasing your expectations. ,Carsten Hering Nielsen
1135751,4.0,"Red fruit, cinnamon, mint, black pepper. Not perfectly balanced but pleasant and quite complex: 4",Klaus Lysdal
1135751,3.5,"Dark ripe cherry, plums, vanilla, forest floor, smokey notes. Very lovely aromatics.  Red berries, plum/cherry, wood, vanilla, tødry, tart finish. Deep wine not too complex but nice challenging nuances nevertheless.  Nutty notes. 91+",Thomas B
1135751,4.5,"93/100 From the 2016 Port Vintage declaration tasting. Red fruit, raspberry, pepper, and firm tannins. This isn't as accessible as others in the vintage but it is nicely structured and has a long life ahead of it. ",Dr. Matthew Horkey
1135751,4.0,"A lovely port. Very fruity, very sweet, with tastes of dark cherries, with a long aftertaste. It has developed a lot since the last time I tasted it, and to the better ",Christian
1135751,4.0,Eye: Vintage red with a brown touch. Nose: Classic vintage honey. Mouth: Fine sweetness with a round end.  A fair bottle.,Jack Bart
1135751,4.0,Great Port wine! Perfect match for well-made desserts.,Juan Fontana
1135751,3.5,"Vanilla, wood, black cherry, blackberry. A hint of tertiary notes like fig and caramel.   Lovely dark fruit, black fresh cherry, plenty of tannin, vanilla, wood, a hint of caramel and fig. Fresh finish, lots of  black ripe fruit, wood and vanilla. Lovely! 91",Thomas B
1135751,3.5,Nice port. Not quite as powerful as expected.,Mogens Winther
1135751,2.0,Balsamico taste. Not pleasent. Not sure if faulty. 79 points,Thomas Walker
